Category,Subcategory,Month_1,Month_2,Month_3,Month_4,Month_5,Month_6,Month_7,Month_8,Month_9,Month_10,Month_11,Month_12,Assumption_Type,Notes
Revenue,Subscriptions,0,0,0,0,0,0,0,0,0,0,0,0,Growth_Formula,"MRR from paying customers"
Revenue,Professional_Services,0,0,0,0,0,0,0,0,0,0,0,0,Manual_Input,"One-time implementation fees"
Revenue,Other_Income,0,0,0,0,0,0,0,0,0,0,0,0,Manual_Input,"Partnerships, affiliate revenue"
COGS,Server_Costs,0,0,0,0,0,0,0,0,0,0,0,0,%_of_Revenue,"Cloud hosting (AWS/GCP/Azure)"
COGS,Payment_Processing,0,0,0,0,0,0,0,0,0,0,0,0,%_of_Revenue,"Stripe fees: ~2.9% + $0.30"
COGS,Third_Party_APIs,0,0,0,0,0,0,0,0,0,0,0,0,Per_User,"API costs per active user"
COGS,Customer_Support,0,0,0,0,0,0,0,0,0,0,0,0,Fixed,"Support staff salaries"
Opex_Salaries,Engineering,0,0,0,0,0,0,0,0,0,0,0,0,Fixed,"Developers + CTO"
Opex_Salaries,Product_Design,0,0,0,0,0,0,0,0,0,0,0,0,Fixed,"Product managers + designers"
Opex_Salaries,Sales_Marketing,0,0,0,0,0,0,0,0,0,0,0,0,Fixed,"Sales reps + marketing team"
Opex_Salaries,Operations_Admin,0,0,0,0,0,0,0,0,0,0,0,0,Fixed,"Finance, HR, ops"
Opex_Salaries,Executive,0,0,0,0,0,0,0,0,0,0,0,0,Fixed,"CEO, COO, CFO"
Opex_Marketing,Paid_Advertising,0,0,0,0,0,0,0,0,0,0,0,0,Variable_CAC,"Google Ads, Facebook, LinkedIn"
Opex_Marketing,Content_SEO,0,0,0,0,0,0,0,0,0,0,0,0,Fixed,"Content writers, SEO tools"
Opex_Marketing,Events_Conferences,0,0,0,0,0,0,0,0,0,0,0,0,Manual_Input,"Trade shows, sponsorships"
Opex_Marketing,Tools_Software,0,0,0,0,0,0,0,0,0,0,0,0,Fixed,"HubSpot, analytics, CRM"
Opex_Other,Office_Rent,0,0,0,0,0,0,0,0,0,0,0,0,Fixed,"Co-working or office space"
Opex_Other,Software_Tools,0,0,0,0,0,0,0,0,0,0,0,0,Fixed,"Productivity tools (Slack, Notion)"
Opex_Other,Legal_Accounting,0,0,0,0,0,0,0,0,0,0,0,0,Fixed,"Lawyers, accountants, compliance"
Opex_Other,Insurance,0,0,0,0,0,0,0,0,0,0,0,0,Fixed,"D&O, liability insurance"
Opex_Other,Misc_Expenses,0,0,0,0,0,0,0,0,0,0,0,0,Manual_Input,"Travel, recruiting, misc"
Net_Income,EBITDA,0,0,0,0,0,0,0,0,0,0,0,0,Calculated,"Revenue - COGS - Opex"
Cash,Beginning_Balance,0,0,0,0,0,0,0,0,0,0,0,0,Manual_Input,"Starting cash position"
Cash,Cash_In,0,0,0,0,0,0,0,0,0,0,0,0,Calculated,"Revenue collected this month"
Cash,Cash_Out,0,0,0,0,0,0,0,0,0,0,0,0,Calculated,"COGS + Opex paid this month"
Cash,Fundraising,0,0,0,0,0,0,0,0,0,0,0,0,Manual_Input,"Investment rounds"
Cash,Ending_Balance,0,0,0,0,0,0,0,0,0,0,0,0,Calculated,"Beginning + In - Out + Fundraising"
